is_holiday,air_pollution_index,temperature,rain_p_h,visibility_in_miles,time_of_day,traffic_condition
1,89.8,29.5,21.3,5.0,1,0
0,28.1,37.8,15.5,5.0,1,0
0,68.8,17.2,46.6,9.1,0,0
0,142.5,39.2,46.6,5.0,0,0
0,43.8,22.9,2.7,9.8,0,0
1,62.5,20.5,38.8,8.9,1,0
1,98.5,29.7,23.7,5.9,1,0
0,37.5,23.0,18.6,8.9,0,0
0,125.5,38.4,16.5,6.0,1,0
0,122.0,28.3,1.8,8.8,1,0
0,105.0,24.3,24.7,5.0,1,0
0,35.5,39.5,39.7,6.5,1,0
1,33.2,24.7,35.3,5.0,1,0
0,79.5,31.9,22.5,9.7,0,0
0,31.5,19.2,4.2,5.0,0,0
1,72.4,29.4,12.1,5.9,0,0
1,34.8,39.0,16.3,9.8,1,0
1,52.8,34.7,21.0,6.0,0,0
0,118.7,35.7,34.9,8.2,0,0
0,138.8,28.0,44.2,5.0,0,0
1,128.4,32.3,27.6,5.0,0,0
1,69.0,34.2,19.7,9.6,0,0
1,66.8,31.0,31.5,8.2,1,0
0,57.4,39.4,20.9,6.1,1,0
1,133.1,20.6,42.8,5.0,0,0
0,30.3,36.2,16.7,5.0,0,0
1,55.5,27.1,39.9,5.0,0,0
1,149.8,35.6,5.9,6.8,0,0
1,109.6,34.6,11.5,5.8,1,0
1,26.1,18.6,35.0,7.8,1,0
0,40.0,35.5,0.3,5.0,0,0
0,54.5,20.1,10.0,9.4,1,0
1,131.7,27.6,44.0,8.9,0,0
1,96.5,34.5,17.7,9.0,0,0
0,25.5,33.5,46.6,10.0,0,0
1,52.9,22.0,32.0,5.0,0,0
0,51.9,35.1,17.0,5.0,0,0
0,79.3,29.3,1.2,5.0,0,0
0,145.9,35.9,6.4,6.4,0,0
1,115.9,26.3,37.1,5.0,0,0
1,47.7,35.2,10.3,6.6,0,0
1,66.2,38.2,28.1,5.0,0,0
1,140.2,21.6,45.6,8.8,0,0
1,48.0,22.1,11.9,5.0,1,0
0,71.8,29.0,43.0,5.0,0,0
0,56.5,21.8,45.9,9.0,0,0
1,148.6,17.0,14.9,5.8,0,0
1,27.1,33.7,46.7,5.6,1,0
1,48.5,31.6,20.5,7.7,0,0
1,60.4,16.0,47.6,7.7,1,0
0,73.8,23.5,37.5,9.4,0,0
1,43.2,25.4,18.9,9.5,0,0
0,62.4,33.4,43.1,9.9,0,0
0,40.6,24.6,3.3,5.0,0,0
1,102.5,17.4,15.2,5.0,0,0
1,88.5,25.3,1.5,6.1,0,0
1,125.0,38.7,11.9,6.3,1,0
1,75.9,24.0,37.9,5.0,1,0
0,117.3,24.9,12.0,5.9,1,0
1,95.1,28.9,11.8,5.0,0,0
0,86.5,30.1,18.3,5.0,1,0
0,37.9,25.8,4.6,6.1,0,0
0,115.2,16.0,41.6,5.0,0,0
1,26.9,21.4,36.7,5.2,0,0
0,145.2,18.6,0.7,6.9,0,0
1,85.3,23.1,14.2,5.0,1,0
1,27.4,27.4,1.5,5.0,1,0
0,136.9,29.5,48.4,5.5,0,0
0,146.2,21.0,40.6,5.0,0,0
1,64.1,21.1,38.7,5.0,1,0
0,58.8,27.1,33.3,5.0,0,0
0,120.5,34.1,3.7,5.9,1,0
0,58.2,32.4,17.9,5.0,0,0
0,81.5,26.8,44.8,5.0,1,0
1,65.0,34.7,8.9,5.0,1,0
1,128.3,39.8,38.3,8.4,0,0
1,89.0,22.3,28.8,7.4,1,0
1,70.5,24.7,1.6,5.0,1,0
1,38.6,26.4,15.2,5.0,0,0
1,53.5,28.6,33.6,9.2,1,0
1,50.6,33.8,8.9,5.0,0,0
0,105.5,19.0,28.5,5.0,1,0
1,82.5,39.1,2.8,8.0,0,0
1,62.5,30.8,12.1,8.1,0,0
0,99.0,38.2,32.3,5.0,1,0
1,133.8,18.8,2.2,8.8,0,0
1,117.7,35.0,16.4,5.0,0,0
0,69.0,33.8,1.7,5.0,1,0
1,123.0,34.9,34.2,5.0,0,0
1,147.2,27.9,14.8,5.0,1,0
1,139.9,39.9,18.3,5.6,1,0
1,29.0,32.5,17.8,8.9,1,0
0,90.2,24.9,18.1,7.2,1,0
0,119.4,19.6,2.5,5.0,0,0
1,88.2,36.8,14.0,8.9,0,0
0,35.4,31.4,23.2,5.0,0,0
0,30.9,30.6,34.4,5.0,0,0
0,39.1,21.4,28.1,7.8,0,0
0,131.6,20.4,26.3,6.5,1,0
0,50.0,32.8,19.5,7.4,0,0
1,122.6,31.0,6.9,5.0,1,0
0,92.2,35.0,30.3,7.4,0,0
0,70.0,26.2,42.0,6.3,0,0
0,131.6,22.4,16.9,8.3,0,0
0,52.4,17.9,39.3,5.0,0,0
1,140.2,30.2,31.1,7.5,1,0
1,132.5,29.7,18.0,5.9,0,0
1,122.0,26.4,8.3,5.0,0,0
0,62.1,20.8,38.2,8.4,0,0
1,133.3,37.6,18.1,5.0,1,0
1,142.8,31.4,5.1,5.0,0,0
0,63.5,33.3,47.4,5.5,1,0
1,64.0,38.7,47.1,7.3,1,0
1,68.2,17.5,48.5,9.9,0,0
0,146.0,22.6,10.8,5.0,0,0
1,86.4,39.2,47.0,9.0,0,0
0,94.0,22.3,6.3,8.2,1,0
1,69.5,24.9,1.7,5.0,1,0
0,143.4,26.2,32.2,5.0,0,0
1,146.3,20.6,1.5,5.0,0,0
1,101.5,16.8,48.4,8.2,0,0
1,73.7,23.6,41.1,7.1,0,0
0,25.2,35.4,23.1,8.2,1,0
0,62.9,25.5,32.5,5.0,0,0
0,30.1,20.2,1.3,10.0,0,0
1,95.8,23.1,47.2,5.0,0,0
0,109.7,28.2,25.6,9.2,1,0
1,114.2,23.8,28.0,5.0,1,0
0,127.0,24.0,48.9,8.1,1,0
1,36.4,18.7,11.3,8.3,1,0
1,88.8,36.0,43.6,6.6,0,0
1,92.5,21.9,16.0,5.0,0,0
1,127.4,28.8,39.5,5.0,1,0
0,36.2,28.7,42.6,9.8,1,0
1,133.3,37.1,49.9,5.0,1,0
1,51.0,31.8,8.9,9.0,0,0
0,115.7,31.5,32.5,9.4,1,0
1,123.8,27.0,4.9,9.7,0,0
1,133.4,33.1,23.7,5.0,1,0
0,135.5,16.9,41.6,5.0,1,0
0,57.0,35.3,21.0,5.0,0,0
0,124.0,20.8,41.9,5.0,1,0
0,138.1,36.5,0.5,10.0,1,0
0,99.2,32.3,41.9,5.0,0,0
0,71.0,32.8,21.3,6.1,0,0
1,142.2,26.7,11.8,8.8,1,0
1,71.0,16.1,38.5,8.2,1,0
1,68.7,37.5,5.2,5.0,1,0
0,128.2,27.5,42.0,5.2,0,0
1,100.2,17.4,43.2,5.0,0,0
0,55.6,17.8,46.3,7.6,0,0
1,46.2,26.6,24.3,9.0,1,0
1,91.5,32.8,47.9,10.0,0,0
1,43.3,30.6,20.8,8.5,0,0
0,109.5,29.6,19.5,9.8,0,0
0,86.7,20.8,38.4,7.4,0,0
1,123.9,39.8,27.0,5.0,1,0
0,121.3,26.5,46.1,5.0,1,0
0,141.1,26.0,23.0,5.0,0,0
0,82.7,31.6,29.2,6.8,1,0
1,99.5,24.4,33.4,5.0,1,0
0,125.8,31.9,23.0,9.3,0,0
0,109.4,34.5,6.6,5.0,1,0
1,125.2,19.3,19.6,5.2,1,0
1,122.5,31.5,48.6,9.2,0,0
0,101.2,28.0,15.9,5.0,0,0
0,140.3,23.8,3.7,9.7,0,0
0,87.6,26.7,0.2,5.0,1,0
1,95.9,22.2,45.4,5.0,1,0
1,72.2,22.9,16.6,7.3,1,0
1,137.6,15.3,37.8,9.1,0,0
0,43.5,39.8,34.0,5.0,0,0
0,123.8,30.0,42.1,7.3,0,0
0,87.2,32.0,8.5,8.9,0,0
0,85.7,38.3,32.8,5.0,1,0
0,118.5,16.0,48.4,5.0,1,0
0,59.1,18.2,0.5,7.1,0,0
1,32.4,26.4,17.6,6.7,1,0
0,49.1,36.2,42.6,6.4,0,0
1,51.1,34.3,43.2,8.6,1,0
1,39.1,35.1,36.0,5.8,1,0
1,55.0,27.8,2.3,5.0,1,0
1,68.1,35.2,48.3,7.6,1,0
1,71.0,22.6,11.1,7.2,1,0
1,41.0,31.6,36.0,5.0,1,0
1,51.7,18.2,45.5,9.6,0,0
0,124.8,22.3,19.8,5.0,1,0
1,107.8,32.7,2.2,9.0,1,0
1,59.6,39.9,25.5,5.0,0,0
1,84.7,34.4,18.2,5.0,1,0
1,147.5,26.4,14.0,5.0,0,0
1,134.9,21.5,42.6,5.0,0,0
1,87.3,16.3,34.7,7.6,0,0
0,122.2,38.2,35.9,7.0,0,0
1,52.3,23.7,40.9,5.0,1,0
0,47.6,21.2,16.0,5.0,0,0
1,62.8,19.6,10.8,6.6,1,0
0,74.8,30.6,49.1,7.2,1,0
1,125.2,39.1,24.3,6.2,1,0
0,40.6,39.5,44.2,5.0,1,0
0,118.8,38.7,32.1,5.0,0,0
0,145.2,24.4,44.7,6.0,0,0
1,46.0,23.8,17.1,5.0,0,0
1,72.0,23.2,36.4,7.3,0,0
1,34.6,21.4,30.5,6.8,1,0
0,41.7,16.9,32.9,5.0,0,0
0,64.0,32.6,29.5,8.1,0,0
0,27.3,21.6,32.4,5.0,1,0
1,59.5,22.9,24.1,5.1,0,0
1,112.9,17.3,38.3,9.8,1,0
0,129.2,39.3,45.4,5.0,1,0
1,57.6,29.9,17.9,5.0,1,0
1,121.2,33.7,35.1,8.2,0,0
1,39.8,18.8,16.7,5.0,1,0
0,105.7,30.3,4.6,6.6,0,0
1,87.8,20.8,11.9,5.0,1,0
1,102.5,36.5,7.5,5.0,1,0
1,64.8,15.1,29.5,5.0,0,0
1,77.8,25.1,0.3,5.6,0,0
1,101.2,20.5,25.9,5.0,0,0
0,87.5,39.7,39.5,5.0,1,0
1,124.9,36.5,8.2,6.4,0,0
0,29.4,26.8,40.0,5.0,0,0
1,84.2,34.4,42.6,5.8,0,0
1,115.5,26.1,46.7,6.5,0,0
1,76.5,20.9,15.6,5.0,1,0
1,123.8,29.2,25.8,8.6,1,0
1,86.5,23.6,22.0,5.0,1,0
0,130.8,38.2,3.9,5.0,0,0
0,106.2,37.6,24.9,5.0,0,0
1,35.5,36.2,38.9,5.0,1,0
1,77.5,25.6,47.5,7.7,0,0
1,108.8,20.2,22.0,9.5,1,0
1,83.9,39.5,13.0,8.9,0,0
0,131.4,22.3,3.2,9.4,0,0
1,134.3,16.0,35.3,9.7,1,0
1,25.6,17.8,18.1,6.4,1,0
0,43.0,28.9,30.7,5.0,0,0
0,117.0,16.8,42.9,5.6,1,0
0,29.5,21.9,26.6,5.4,1,0
0,145.4,27.5,41.0,9.0,0,0
1,149.7,38.0,30.3,5.0,0,0
0,36.0,36.7,36.1,6.6,0,0
0,81.2,23.2,2.0,7.6,0,0
0,72.3,36.7,11.0,5.0,1,0
0,60.9,16.5,37.1,5.0,0,0
0,54.5,38.7,19.4,5.8,1,0
1,66.8,30.6,10.1,7.9,1,0
1,131.1,32.9,10.7,9.1,1,0
1,93.5,32.5,39.1,5.0,0,0
1,67.2,26.8,18.2,8.4,1,0
0,137.8,21.7,46.4,5.0,0,0
0,32.0,37.6,21.0,6.7,0,0
0,104.0,37.0,20.8,5.0,1,0
0,96.8,21.9,47.0,5.0,0,0
1,74.5,27.6,3.2,6.4,1,0
0,48.7,25.8,48.0,5.0,0,0
0,93.0,26.9,36.6,5.0,1,0
1,136.4,33.4,21.8,5.0,0,0
0,91.5,19.0,9.3,6.9,0,0
1,106.5,32.4,0.6,5.0,1,0
1,113.5,22.2,39.7,9.6,1,0
1,25.6,40.0,7.6,5.0,0,0
0,49.0,20.6,10.5,6.5,0,0
0,89.2,22.0,29.2,7.7,0,0
0,118.7,32.2,22.0,5.0,0,0
1,79.4,21.0,15.7,5.0,1,0
0,143.1,26.0,10.6,5.0,0,0
1,88.7,34.5,38.8,5.0,0,0
0,77.7,36.3,5.0,5.3,1,0
1,87.8,28.5,40.3,9.1,0,0
0,111.2,26.2,5.5,5.0,1,0
0,90.8,19.0,43.4,9.8,1,0
0,38.3,31.7,32.3,7.3,1,0
0,144.9,38.2,15.7,5.8,1,0
1,28.4,15.3,17.6,5.1,0,0
0,121.2,35.3,19.8,5.0,1,0
0,98.1,34.7,33.8,5.0,0,0
1,71.2,31.4,25.9,9.0,1,0
0,119.1,39.5,25.1,6.2,1,0
1,47.2,15.2,48.1,6.2,0,0
1,68.6,30.0,27.5,5.0,1,0
0,87.5,23.3,46.0,5.0,1,0
1,124.4,33.0,15.8,6.1,1,0
0,64.4,18.2,35.3,5.0,0,0
1,134.8,25.9,46.5,5.4,0,0
1,149.4,26.4,16.1,5.0,1,0
1,31.1,35.9,5.5,6.2,0,0
1,61.8,24.3,13.7,9.5,0,0
0,118.5,30.5,46.5,5.9,1,0
1,97.1,19.0,36.6,6.3,1,0
1,134.9,30.0,27.9,5.0,0,0
0,30.6,21.9,28.5,6.1,0,0
0,54.9,19.5,6.2,5.0,1,0
0,129.3,32.1,32.1,9.5,0,0
0,85.2,23.4,24.2,6.7,1,0
1,100.6,26.3,4.3,5.0,0,0
1,99.0,17.5,32.1,5.0,1,0
1,107.8,17.5,46.4,5.0,1,0
1,43.4,37.2,47.9,5.0,1,0
0,37.9,30.2,4.9,5.0,0,0
0,46.5,32.6,4.5,5.0,0,0
1,130.8,22.7,26.3,7.1,1,0
0,54.4,28.7,17.5,5.0,0,0
0,67.7,26.7,31.7,9.5,0,0
1,72.1,20.2,40.5,5.0,0,0
1,92.5,35.7,24.4,6.2,0,0
0,64.6,16.5,10.8,8.1,1,0
0,67.5,35.3,33.8,5.0,1,0
0,128.8,30.5,21.9,5.0,1,0
0,98.8,15.6,36.0,5.0,0,0
1,144.7,24.1,20.1,5.0,1,0
0,129.1,21.1,12.9,5.5,0,0
0,63.2,36.7,10.2,9.8,1,0
1,51.0,38.9,19.0,5.0,0,0
1,37.4,24.4,47.1,5.0,0,0
1,32.7,24.0,10.3,8.4,1,0
1,149.9,19.3,21.3,5.0,1,0
1,89.7,26.6,26.0,7.9,0,0
0,41.1,20.5,47.7,5.2,1,0
0,77.8,24.6,25.8,7.5,0,0
0,101.6,33.1,29.6,5.0,0,0
1,26.9,22.3,48.1,9.0,1,0
1,68.0,18.1,3.7,8.0,1,0
0,132.8,35.5,8.3,5.2,1,0
0,142.3,15.6,20.9,9.0,0,0
0,100.3,36.3,7.4,7.3,0,0
1,92.6,22.1,12.7,5.0,0,0
1,117.0,21.2,20.4,8.1,1,0
1,122.4,26.0,19.8,5.0,0,0
1,137.9,23.5,4.0,9.4,0,0
1,87.3,18.0,6.3,9.0,1,0
0,44.5,33.3,42.2,7.4,0,0
1,107.2,31.4,29.6,5.0,1,0
0,132.8,25.4,11.8,6.4,1,0
0,129.7,24.5,7.1,5.0,1,0
0,130.4,16.0,43.0,5.0,1,0
0,97.2,16.8,7.6,5.0,0,0
1,117.7,36.4,40.2,9.7,1,0
0,96.3,25.8,49.2,5.0,1,0
0,57.5,34.2,47.2,7.1,0,0
1,118.7,29.9,24.1,5.0,0,0
1,99.2,25.0,41.8,6.2,0,0
0,27.6,24.5,23.1,5.5,0,0
1,91.0,23.3,47.8,5.0,1,0
0,31.6,19.9,17.4,5.0,0,0
0,25.4,35.7,1.3,5.0,1,0
0,87.8,35.0,44.1,5.0,0,0
0,32.9,15.9,12.8,7.9,0,0
1,96.9,29.9,14.8,5.0,0,0
1,102.5,28.9,27.0,5.0,1,0
0,44.0,24.5,16.0,5.0,1,0
1,108.7,25.6,35.0,5.0,1,0
1,100.5,36.0,36.4,5.0,1,0
0,135.4,23.8,33.0,5.7,1,0
0,37.0,17.3,2.6,5.0,0,0
0,117.8,39.2,14.3,6.3,0,0
0,106.5,28.6,27.2,5.0,1,0
0,40.6,23.3,28.3,7.8,1,0
1,96.5,26.9,47.2,9.7,0,0
0,61.4,35.4,2.7,7.4,0,0
1,135.0,28.5,18.0,9.5,0,0
0,101.9,17.1,24.0,9.5,0,0
1,68.0,26.3,35.2,9.4,1,0
1,76.3,25.0,35.3,5.0,0,0
0,32.6,27.2,13.7,5.0,1,0
1,112.3,21.5,7.9,5.0,1,0
0,42.2,17.2,25.6,5.0,0,0
1,101.1,22.4,6.2,7.1,1,0
1,47.8,18.5,38.9,8.3,1,0
1,63.3,34.1,33.5,5.0,0,0
0,102.3,37.8,24.3,9.2,1,0
0,105.5,27.3,34.1,6.0,0,0
1,66.2,26.5,21.0,5.0,0,0
1,27.9,38.1,9.6,6.6,0,0
0,91.6,34.6,47.7,7.9,1,0
0,84.8,38.9,19.9,5.0,1,0
0,131.3,17.5,35.5,8.0,0,0
1,70.2,17.9,10.3,5.0,0,0
1,81.8,35.0,5.6,9.4,1,0
1,117.9,32.0,8.6,9.0,0,0
0,79.5,36.1,13.8,9.2,0,0
0,88.3,24.1,49.9,7.2,1,0
0,55.0,20.9,39.0,5.0,0,0
1,75.2,26.3,45.9,5.0,1,0
0,37.4,34.0,27.6,5.0,0,0
0,140.3,22.9,6.9,7.0,1,0
0,112.3,23.1,29.3,5.0,0,0
1,45.9,20.8,47.4,5.0,0,0
0,39.4,34.0,26.5,5.0,1,0
0,28.4,27.2,33.8,7.8,0,0
1,38.9,22.1,9.5,9.5,1,0
1,87.2,38.7,21.2,5.0,0,0
1,126.0,36.8,29.4,5.0,1,0
1,40.7,16.9,1.9,5.0,1,0
1,129.9,21.9,3.1,5.0,1,0
0,68.2,22.4,12.1,5.4,1,0
1,107.2,38.9,36.5,5.0,1,0
1,124.2,36.5,34.7,9.2,0,0
0,61.1,39.4,38.2,8.6,0,0
0,33.0,18.1,32.8,5.0,0,0
0,81.3,21.1,19.8,5.0,0,0
0,99.0,38.9,47.9,5.6,1,0
0,107.2,33.4,15.4,6.7,1,0
0,74.6,15.7,45.3,5.0,1,0
1,78.1,29.2,3.4,7.6,0,0
0,88.7,39.1,5.6,5.0,1,0
1,61.2,34.4,18.5,8.9,0,0
0,103.8,18.0,13.9,6.9,0,0
0,34.5,34.7,29.4,6.4,1,0
1,35.9,29.4,21.0,7.5,0,0
1,108.2,36.4,49.8,6.7,1,0
0,76.9,21.3,3.4,9.3,1,0
1,116.3,30.1,8.4,8.7,1,0
1,44.6,39.9,27.6,9.8,0,0
1,138.8,23.7,18.5,6.6,1,0
0,117.7,37.6,42.2,7.7,1,0
0,104.0,26.4,1.2,6.0,0,0
0,76.3,22.0,14.5,8.8,0,0
1,127.8,39.0,12.9,5.0,1,0
1,66.4,17.5,16.0,5.0,1,0
1,62.9,38.0,43.3,5.0,1,0
0,27.6,29.5,49.6,10.0,0,0
1,107.6,35.1,14.1,5.0,1,0
1,75.2,38.1,3.2,5.0,1,0
0,103.2,18.7,0.6,5.8,1,0
1,102.3,39.8,6.5,6.7,0,0
0,58.9,16.3,11.9,7.6,1,0
0,57.5,25.6,10.6,5.0,0,0
0,117.8,20.1,12.6,5.0,0,0
0,95.2,20.5,47.6,5.0,0,0
0,132.8,34.5,5.8,5.0,0,0
1,81.9,28.7,34.4,9.2,1,0
1,101.6,36.4,32.2,5.0,0,0
1,77.8,39.7,6.7,5.0,0,0
1,147.4,19.0,14.0,6.1,1,0
1,60.9,39.7,3.9,5.0,0,0
1,36.6,22.3,37.0,5.9,1,0
1,95.0,26.3,13.3,6.0,1,0
0,99.5,25.6,33.3,5.0,0,0
0,27.4,27.6,5.0,5.0,1,0
1,59.6,24.3,30.1,5.0,1,0
0,100.1,27.1,49.2,5.0,0,0
1,101.0,29.1,7.8,5.0,1,0
1,26.8,15.0,28.3,5.0,0,0
1,34.4,21.2,6.2,5.0,0,0
0,66.7,24.9,3.3,9.9,0,0
1,135.3,32.1,39.6,8.4,1,0
0,80.3,17.3,26.0,6.5,1,0
1,96.9,37.1,2.0,8.3,0,0
0,132.7,38.8,40.5,8.1,1,0
1,88.8,18.2,18.5,5.0,1,0
0,136.2,34.8,28.7,5.0,0,0
1,77.3,23.6,3.3,6.0,0,0
1,113.2,37.5,29.3,8.5,1,0
1,51.5,32.2,30.0,9.4,1,0
0,62.0,35.0,5.5,9.3,0,0
0,82.2,34.1,11.2,5.0,0,0
1,38.5,23.4,10.8,5.4,1,0
1,114.8,16.0,34.5,8.2,1,0
1,108.5,17.3,25.3,5.6,0,0
0,141.9,28.3,24.6,7.4,0,0
0,88.0,29.8,12.8,5.0,1,0
0,114.0,16.2,16.5,5.0,0,0
0,32.4,15.3,48.2,5.0,0,0
1,80.1,15.3,8.0,5.0,0,0
0,58.6,39.9,9.2,7.5,1,0
0,83.8,30.8,23.2,5.0,0,0
1,38.5,38.9,15.7,6.5,0,0
1,130.4,35.4,47.0,5.0,0,0
0,103.5,39.5,49.4,5.0,1,0
0,62.9,24.8,14.1,6.4,0,0
1,34.8,38.9,23.5,5.3,0,0
0,50.4,32.8,43.4,5.0,1,0
0,124.0,31.4,26.3,5.0,1,0
0,132.2,19.3,11.3,5.0,0,0
1,72.1,39.2,32.8,6.2,0,0
0,82.6,39.2,2.7,5.0,0,0
0,102.3,35.9,43.5,6.7,1,0
1,36.5,22.9,7.5,5.1,1,0
1,94.5,20.6,32.9,5.0,0,0
1,68.5,32.0,43.4,9.5,0,0
0,89.8,31.3,40.4,5.7,0,0
0,60.6,21.0,11.9,5.2,1,0
0,64.5,33.6,44.8,8.8,1,0
1,146.1,24.3,24.5,5.0,0,0
0,101.7,28.0,38.5,5.0,0,0
0,46.0,15.1,22.7,9.3,0,0
1,57.0,26.0,2.9,5.0,1,0
0,140.8,29.7,31.0,5.0,0,0
0,86.4,31.4,35.1,7.5,0,0
0,107.8,32.7,9.8,6.8,1,0
0,143.6,33.9,47.3,8.8,0,0
1,77.8,20.9,40.3,5.0,0,0
1,33.5,29.5,28.7,5.0,0,0
0,85.3,28.9,22.0,7.5,1,0
1,147.1,34.1,3.9,8.9,0,0
1,82.2,34.8,14.2,9.2,0,0
0,107.7,37.5,34.8,5.0,0,0
0,142.1,31.4,44.8,7.1,1,0
1,36.0,25.3,8.1,5.0,1,0
0,124.1,23.3,39.4,8.0,1,0
1,105.7,36.4,45.5,8.0,1,0
0,52.2,35.4,16.7,5.0,0,0
0,127.8,20.2,9.6,6.8,0,0
1,37.3,18.0,33.8,9.5,1,0
0,103.8,16.5,43.9,5.0,1,0
0,50.0,22.2,32.1,9.1,0,0
0,33.0,21.1,18.2,5.7,1,0
0,103.3,32.4,0.7,10.0,1,0
1,55.3,19.7,25.5,5.0,1,0
0,55.7,19.3,44.2,5.0,0,0
1,44.5,25.5,27.5,5.0,1,0
0,62.8,31.0,7.8,6.8,1,0
0,74.0,35.5,35.1,5.5,0,0
1,94.3,31.2,47.7,7.1,1,0
1,88.3,32.3,13.4,5.0,0,0
0,112.2,26.1,29.0,5.0,0,0
1,137.4,33.7,3.7,8.0,1,0
1,143.4,15.1,25.2,9.5,1,0
0,85.3,29.0,14.2,9.9,0,0
0,135.2,33.6,41.6,8.0,1,0
1,59.2,39.3,4.2,7.4,1,0
1,112.9,37.7,28.8,5.0,0,0
1,149.1,25.4,34.9,5.0,0,0
0,43.8,26.3,43.8,5.0,0,0
1,85.2,34.4,0.6,5.0,0,0
0,129.4,19.9,26.4,5.0,1,0
0,57.1,15.1,20.9,5.0,1,0
0,72.7,28.4,30.8,7.7,1,0
1,122.4,19.5,1.8,5.0,1,0
0,47.5,20.8,38.8,5.0,0,0
1,135.1,33.1,31.4,5.0,1,0
0,71.2,18.2,9.6,5.0,0,0
1,52.8,25.1,48.2,9.0,0,0
0,139.9,31.4,13.3,5.0,0,0
1,52.0,27.9,39.9,5.0,0,0
0,81.5,38.1,18.9,5.0,0,0
1,29.4,39.8,31.6,9.1,0,0
1,115.8,18.8,16.7,5.0,0,0
0,49.1,34.5,45.1,6.2,0,0
1,117.8,24.1,37.6,8.9,0,0
0,83.3,26.2,40.5,8.2,0,0
1,111.7,22.0,10.5,9.8,0,0
1,91.7,37.1,21.2,7.6,0,0
1,82.0,31.5,30.0,6.1,1,0
1,39.4,24.6,33.3,7.2,0,0
0,86.0,23.8,24.5,5.0,1,0
1,36.5,20.9,14.7,5.0,1,0
1,66.0,36.8,2.5,5.0,1,0
0,35.3,33.0,33.0,5.0,1,0
1,36.4,39.6,45.8,6.9,0,0
0,117.2,31.5,46.6,5.9,1,0
0,89.0,25.6,11.4,5.0,0,0
0,75.7,33.0,48.9,5.0,1,0
0,68.7,25.9,33.7,5.0,0,0
