Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
1:45:00 PM,14,Saturday,82,16,32,22,152,high
2:15:00 PM,14,Saturday,18,16,10,14,58,low
2:30:00 PM,14,Saturday,57,12,30,15,114,high
3:00:00 PM,14,Saturday,6,4,5,10,25,low
3:15:00 PM,14,Saturday,78,19,30,23,150,high
3:45:00 PM,14,Saturday,129,18,12,17,176,heavy
4:00:00 PM,14,Saturday,114,9,39,11,173,heavy
4:15:00 PM,14,Saturday,139,8,40,17,204,heavy
4:45:00 PM,14,Saturday,129,11,12,20,172,heavy
5:00:00 PM,14,Saturday,149,22,31,13,215,heavy
5:15:00 PM,14,Saturday,120,27,37,12,196,heavy
5:30:00 PM,14,Saturday,120,6,37,18,181,heavy
5:45:00 PM,14,Saturday,124,28,32,18,202,heavy
6:00:00 PM,14,Saturday,116,10,28,19,173,heavy
6:30:00 PM,14,Saturday,88,8,20,33,149,high
7:00:00 PM,14,Saturday,94,17,19,35,165,high
7:45:00 PM,14,Saturday,74,8,10,13,105,low
8:00:00 PM,14,Saturday,92,9,11,32,144,high
4:00:00 AM,15,Sunday,76,7,2,14,99,low
4:30:00 AM,15,Sunday,54,8,0,16,78,low
5:45:00 AM,15,Sunday,128,11,25,13,177,heavy
6:00:00 AM,15,Sunday,131,23,15,11,180,heavy
6:15:00 AM,15,Sunday,140,24,17,8,189,heavy
6:30:00 AM,15,Sunday,113,23,23,10,169,heavy
7:00:00 AM,15,Sunday,143,11,11,12,177,heavy
7:15:00 AM,15,Sunday,137,24,25,8,194,heavy
8:30:00 AM,15,Sunday,134,13,24,11,182,heavy
8:45:00 AM,15,Sunday,137,13,20,9,179,heavy
9:30:00 AM,15,Sunday,77,5,5,14,101,low
10:00:00 AM,15,Sunday,68,14,30,19,131,high
10:15:00 AM,15,Sunday,46,5,11,13,75,low
1:00:00 PM,15,Sunday,36,16,12,13,77,low
2:15:00 PM,15,Sunday,95,6,27,14,142,high
2:30:00 PM,15,Sunday,39,13,8,11,71,low
2:45:00 PM,15,Sunday,54,15,8,11,88,low
3:00:00 PM,15,Sunday,28,19,13,11,71,low
3:30:00 PM,15,Sunday,29,18,9,15,71,low
3:45:00 PM,15,Sunday,122,18,18,19,177,heavy
4:00:00 PM,15,Sunday,150,30,14,17,211,heavy
4:15:00 PM,15,Sunday,113,25,28,12,178,heavy
4:30:00 PM,15,Sunday,116,23,39,17,195,heavy
4:45:00 PM,15,Sunday,127,14,40,11,192,heavy
5:00:00 PM,15,Sunday,116,15,33,20,184,heavy
5:15:00 PM,15,Sunday,136,15,15,18,184,heavy
5:45:00 PM,15,Sunday,109,25,35,12,181,heavy
6:00:00 PM,15,Sunday,134,21,26,15,196,heavy
6:15:00 PM,15,Sunday,135,10,36,15,196,heavy
7:15:00 PM,15,Sunday,52,17,5,16,90,low
8:00:00 PM,15,Sunday,67,7,20,33,127,high
6:00:00 AM,16,Monday,147,26,11,5,189,heavy
7:15:00 AM,16,Monday,130,16,10,15,171,heavy
7:45:00 AM,16,Monday,138,22,20,8,188,heavy
8:00:00 AM,16,Monday,128,16,22,12,178,heavy
8:30:00 AM,16,Monday,141,27,12,9,189,heavy
10:30:00 AM,16,Monday,61,8,7,18,94,low
2:45:00 PM,16,Monday,35,18,3,16,72,low
3:30:00 PM,16,Monday,30,19,14,18,81,low
3:45:00 PM,16,Monday,125,11,26,11,173,heavy
4:00:00 PM,16,Monday,130,10,30,20,190,heavy
4:15:00 PM,16,Monday,149,27,24,19,219,heavy
4:30:00 PM,16,Monday,107,25,38,14,184,heavy
4:45:00 PM,16,Monday,129,16,23,10,178,heavy
5:00:00 PM,16,Monday,131,7,33,13,184,heavy
5:15:00 PM,16,Monday,124,20,13,14,171,heavy
5:45:00 PM,16,Monday,144,13,12,20,189,heavy
6:00:00 PM,16,Monday,148,9,37,18,212,heavy
6:15:00 PM,16,Monday,141,11,33,16,201,heavy
6:45:00 PM,16,Monday,85,7,13,31,136,high
7:00:00 PM,16,Monday,101,0,19,33,153,high
8:15:00 PM,16,Monday,78,3,12,33,126,high
9:15:00 PM,16,Monday,61,10,14,35,120,high
4:00:00 AM,17,Tuesday,83,9,0,14,106,low
4:30:00 AM,17,Tuesday,76,4,6,15,101,low
4:45:00 AM,17,Tuesday,59,5,2,11,77,low
5:15:00 AM,17,Tuesday,71,4,6,17,98,low
6:00:00 AM,17,Tuesday,136,30,11,5,182,heavy
6:30:00 AM,17,Tuesday,131,19,18,11,179,heavy
8:15:00 AM,17,Tuesday,109,29,25,11,174,heavy
9:30:00 AM,17,Tuesday,35,14,14,12,75,low
10:00:00 AM,17,Tuesday,59,10,7,16,92,low
10:15:00 AM,17,Tuesday,56,12,7,6,81,low
10:30:00 AM,17,Tuesday,77,10,5,18,110,low
11:45:00 AM,17,Tuesday,70,1,11,31,113,high
1:30:00 PM,17,Tuesday,17,8,12,10,47,low
2:00:00 PM,17,Tuesday,38,1,0,10,49,low
3:15:00 PM,17,Tuesday,59,15,31,29,134,high
3:45:00 PM,17,Tuesday,116,19,35,11,181,heavy
4:00:00 PM,17,Tuesday,123,5,31,13,172,heavy
5:15:00 PM,17,Tuesday,142,22,25,18,207,heavy
6:00:00 PM,17,Tuesday,101,30,23,18,172,heavy
6:15:00 PM,17,Tuesday,138,16,14,19,187,heavy
6:45:00 PM,17,Tuesday,70,17,20,34,141,high
7:30:00 PM,17,Tuesday,83,1,5,31,120,high
8:45:00 PM,17,Tuesday,110,2,14,31,157,high
9:15:00 PM,17,Tuesday,53,18,10,35,116,high
9:30:00 PM,17,Tuesday,65,2,13,33,113,high
4:15:00 AM,18,Wednesday,60,0,6,18,84,low
4:30:00 AM,18,Wednesday,54,6,6,14,80,low
5:00:00 AM,18,Wednesday,68,6,6,11,91,low
6:00:00 AM,18,Wednesday,120,28,20,10,178,heavy
6:45:00 AM,18,Wednesday,141,30,24,12,207,heavy
7:00:00 AM,18,Wednesday,144,26,18,13,201,heavy
7:30:00 AM,18,Wednesday,118,27,10,12,167,low
7:45:00 AM,18,Wednesday,136,16,24,10,186,heavy
8:00:00 AM,18,Wednesday,139,30,21,15,205,heavy
8:30:00 AM,18,Wednesday,127,18,11,15,171,heavy
9:15:00 AM,18,Wednesday,56,7,8,14,85,low
9:30:00 AM,18,Wednesday,34,7,8,9,58,low
9:45:00 AM,18,Wednesday,57,10,15,12,94,low
10:00:00 AM,18,Wednesday,44,15,9,18,86,low
1:30:00 PM,18,Wednesday,47,10,13,13,83,low
2:00:00 PM,18,Wednesday,49,8,4,16,77,low
2:15:00 PM,18,Wednesday,55,2,35,21,113,high
2:45:00 PM,18,Wednesday,73,9,28,17,127,high
3:15:00 PM,18,Wednesday,67,1,12,17,97,low
3:45:00 PM,18,Wednesday,145,14,35,10,204,heavy
4:00:00 PM,18,Wednesday,107,10,32,10,159,high
4:15:00 PM,18,Wednesday,100,17,31,15,163,high
4:30:00 PM,18,Wednesday,126,20,37,10,193,heavy
4:45:00 PM,18,Wednesday,147,23,39,13,222,heavy
5:15:00 PM,18,Wednesday,147,29,10,18,204,heavy
5:30:00 PM,18,Wednesday,115,11,27,13,166,high
5:45:00 PM,18,Wednesday,132,12,19,15,178,heavy
6:15:00 PM,18,Wednesday,119,28,37,12,196,heavy
8:15:00 PM,18,Wednesday,73,20,14,31,138,high
9:00:00 PM,18,Wednesday,63,8,6,13,90,low
4:30:00 AM,19,Thursday,61,7,1,14,83,low
6:30:00 AM,19,Thursday,127,20,13,14,174,heavy
6:45:00 AM,19,Thursday,130,13,14,13,170,heavy
8:45:00 AM,19,Thursday,147,18,20,5,190,heavy
9:45:00 AM,19,Thursday,51,15,9,13,88,low
10:15:00 AM,19,Thursday,49,7,15,6,77,low
10:30:00 AM,19,Thursday,54,13,5,6,78,low
1:15:00 PM,19,Thursday,27,8,10,12,57,low
2:00:00 PM,19,Thursday,66,18,29,10,123,high
3:45:00 PM,19,Thursday,141,6,33,12,192,heavy
4:00:00 PM,19,Thursday,145,13,19,10,187,heavy
4:45:00 PM,19,Thursday,101,11,38,18,168,heavy
5:00:00 PM,19,Thursday,142,28,34,20,224,heavy
5:15:00 PM,19,Thursday,124,21,13,11,169,heavy
5:30:00 PM,19,Thursday,115,22,15,19,171,heavy
6:15:00 PM,19,Thursday,141,20,12,16,189,heavy
6:45:00 PM,19,Thursday,67,10,19,34,130,high
7:00:00 PM,19,Thursday,56,7,18,34,115,high
7:15:00 PM,19,Thursday,99,13,16,34,162,high
9:30:00 PM,19,Thursday,60,0,14,11,85,low
4:00:00 AM,20,Friday,75,0,0,54,129,high
4:15:00 AM,20,Friday,60,9,2,50,121,high
5:00:00 AM,20,Friday,73,6,0,53,132,high
6:00:00 AM,20,Friday,73,6,3,43,125,high
6:15:00 AM,20,Friday,78,0,3,53,134,high
6:45:00 AM,20,Friday,57,5,1,49,112,high
7:45:00 AM,20,Friday,65,6,4,44,119,high
8:30:00 AM,20,Friday,68,10,5,55,138,high
9:00:00 AM,20,Friday,136,49,19,10,214,heavy
9:30:00 AM,20,Friday,138,37,15,7,197,heavy
9:45:00 AM,20,Friday,142,34,9,10,195,heavy
10:30:00 AM,20,Friday,140,34,6,7,187,heavy
11:00:00 AM,20,Friday,128,24,20,7,179,heavy
11:15:00 AM,20,Friday,124,26,16,5,171,heavy
11:30:00 AM,20,Friday,150,44,13,7,214,heavy
11:45:00 AM,20,Friday,146,21,12,5,184,heavy
12:00:00 PM,20,Friday,146,50,13,9,218,heavy
12:15:00 PM,20,Friday,121,38,19,9,187,heavy
12:30:00 PM,20,Friday,150,42,20,5,217,heavy
1:15:00 PM,20,Friday,118,31,13,10,172,heavy
1:30:00 PM,20,Friday,106,47,12,9,174,heavy
1:45:00 PM,20,Friday,136,33,16,5,190,heavy
2:15:00 PM,20,Friday,135,33,8,9,185,heavy
2:30:00 PM,20,Friday,125,33,12,10,180,heavy
2:45:00 PM,20,Friday,150,45,20,9,224,heavy
3:00:00 PM,20,Friday,85,14,2,9,110,low
3:15:00 PM,20,Friday,62,8,8,15,93,low
3:30:00 PM,20,Friday,68,9,15,15,107,low
3:45:00 PM,20,Friday,54,6,7,16,83,low
4:00:00 PM,20,Friday,70,5,7,14,96,low
4:15:00 PM,20,Friday,77,8,10,6,101,low
4:45:00 PM,20,Friday,74,13,0,16,103,low
5:00:00 PM,20,Friday,74,9,2,11,96,low
5:30:00 PM,20,Friday,66,12,8,16,102,low
5:45:00 PM,20,Friday,80,5,11,13,109,low
4:00:00 AM,21,Saturday,66,2,5,13,86,low
4:30:00 AM,21,Saturday,87,4,1,10,102,low
5:15:00 AM,21,Saturday,70,3,3,15,91,low
5:45:00 AM,21,Saturday,150,30,20,13,213,heavy
7:00:00 AM,21,Saturday,136,12,22,5,175,heavy
8:00:00 AM,21,Saturday,138,19,24,6,187,heavy
8:30:00 AM,21,Saturday,125,27,20,14,186,heavy
8:45:00 AM,21,Saturday,132,25,14,14,185,heavy
9:15:00 AM,21,Saturday,40,5,5,10,60,low
10:15:00 AM,21,Saturday,52,5,15,12,84,low
12:00:00 PM,21,Saturday,70,3,7,33,113,high
1:15:00 PM,21,Saturday,74,3,32,27,136,high
1:45:00 PM,21,Saturday,16,20,1,14,51,low
4:00:00 PM,21,Saturday,136,12,37,18,203,heavy
4:15:00 PM,21,Saturday,105,17,34,16,172,heavy
4:30:00 PM,21,Saturday,133,14,37,13,197,heavy
4:45:00 PM,21,Saturday,132,19,32,17,200,heavy
5:00:00 PM,21,Saturday,129,7,22,19,177,heavy
5:15:00 PM,21,Saturday,107,12,26,19,164,high
5:30:00 PM,21,Saturday,133,16,28,17,194,heavy
5:45:00 PM,21,Saturday,114,17,28,18,177,heavy
6:00:00 PM,21,Saturday,134,5,27,15,181,heavy
6:15:00 PM,21,Saturday,103,14,39,20,176,heavy
6:45:00 PM,21,Saturday,107,10,20,35,172,heavy
7:30:00 PM,21,Saturday,78,9,7,12,106,low
8:30:00 PM,21,Saturday,87,7,5,11,110,low
9:00:00 PM,21,Saturday,95,0,5,11,111,low
4:15:00 AM,22,Sunday,70,4,0,14,88,low
4:30:00 AM,22,Sunday,72,8,4,18,102,low
5:45:00 AM,22,Sunday,131,30,19,5,185,heavy
6:00:00 AM,22,Sunday,117,21,21,11,170,heavy
6:15:00 AM,22,Sunday,145,26,14,9,194,heavy
7:00:00 AM,22,Sunday,130,19,13,9,171,heavy
8:45:00 AM,22,Sunday,128,25,13,10,176,heavy
9:15:00 AM,22,Sunday,56,7,15,12,90,low
9:30:00 AM,22,Sunday,46,9,10,15,80,low
9:45:00 AM,22,Sunday,49,6,11,14,80,low
12:30:00 PM,22,Sunday,66,10,13,35,124,high
1:00:00 PM,22,Sunday,84,3,0,12,99,low
2:45:00 PM,22,Sunday,77,16,33,16,142,high
3:00:00 PM,22,Sunday,67,8,32,11,118,high
3:30:00 PM,22,Sunday,77,6,9,18,110,low
4:00:00 PM,22,Sunday,130,17,27,10,184,heavy
4:15:00 PM,22,Sunday,149,17,11,19,196,heavy
4:30:00 PM,22,Sunday,132,20,39,15,206,heavy
5:15:00 PM,22,Sunday,136,19,37,14,206,heavy
5:30:00 PM,22,Sunday,120,5,34,18,177,heavy
5:45:00 PM,22,Sunday,126,16,15,20,177,heavy
6:00:00 PM,22,Sunday,125,5,34,18,182,heavy
7:45:00 PM,22,Sunday,51,4,8,11,74,low
8:30:00 PM,22,Sunday,88,20,15,35,158,high
9:00:00 PM,22,Sunday,94,3,5,33,135,high
9:15:00 PM,22,Sunday,68,1,13,32,114,high
4:00:00 AM,23,Monday,63,10,5,13,91,low
4:15:00 AM,23,Monday,72,3,2,13,90,low
4:45:00 AM,23,Monday,83,0,6,14,103,low
5:00:00 AM,23,Monday,88,0,2,15,105,low
5:15:00 AM,23,Monday,55,9,2,14,80,low
5:30:00 AM,23,Monday,86,1,4,11,102,low
6:15:00 AM,23,Monday,101,30,22,15,168,heavy
6:30:00 AM,23,Monday,123,30,20,8,181,heavy
7:00:00 AM,23,Monday,142,10,16,8,176,heavy
8:00:00 AM,23,Monday,125,19,23,7,174,heavy
8:15:00 AM,23,Monday,111,27,25,5,168,heavy
9:00:00 AM,23,Monday,55,10,5,8,78,low
9:30:00 AM,23,Monday,50,11,13,15,89,low
9:45:00 AM,23,Monday,63,14,27,14,118,high
10:30:00 AM,23,Monday,32,13,8,11,64,low
1:00:00 PM,23,Monday,53,13,7,15,88,low
1:30:00 PM,23,Monday,72,15,6,10,103,low
1:45:00 PM,23,Monday,69,5,35,23,132,high
2:00:00 PM,23,Monday,38,15,8,15,76,low
2:15:00 PM,23,Monday,41,8,5,14,68,low
3:45:00 PM,23,Monday,118,9,29,18,174,heavy
4:15:00 PM,23,Monday,131,29,15,18,193,heavy
4:30:00 PM,23,Monday,128,14,22,20,184,heavy
5:00:00 PM,23,Monday,116,26,22,18,182,heavy
5:15:00 PM,23,Monday,140,26,31,16,213,heavy
5:30:00 PM,23,Monday,141,27,23,16,207,heavy
5:45:00 PM,23,Monday,147,17,20,19,203,heavy
6:00:00 PM,23,Monday,137,23,25,10,195,heavy
6:15:00 PM,23,Monday,115,18,24,20,177,heavy
6:45:00 PM,23,Monday,55,9,5,10,79,low
7:00:00 PM,23,Monday,99,16,14,35,164,high
8:30:00 PM,23,Monday,71,6,20,33,130,high
8:45:00 PM,23,Monday,105,12,17,31,165,high
4:00:00 AM,24,Tuesday,78,0,2,17,97,low
5:00:00 AM,24,Tuesday,50,5,2,17,74,low
5:15:00 AM,24,Tuesday,79,9,5,14,107,low
6:00:00 AM,24,Tuesday,114,23,23,9,169,heavy
6:30:00 AM,24,Tuesday,137,14,13,13,177,heavy
7:45:00 AM,24,Tuesday,135,30,17,10,192,heavy
8:00:00 AM,24,Tuesday,118,25,18,9,170,heavy
8:30:00 AM,24,Tuesday,142,13,11,10,176,heavy
8:45:00 AM,24,Tuesday,128,30,15,14,187,heavy
9:45:00 AM,24,Tuesday,58,14,5,5,82,low
1:00:00 PM,24,Tuesday,59,10,29,18,116,high
1:30:00 PM,24,Tuesday,7,11,1,12,31,low
2:00:00 PM,24,Tuesday,61,16,1,14,92,low
3:30:00 PM,24,Tuesday,72,2,27,16,117,high
3:45:00 PM,24,Tuesday,119,28,17,18,182,heavy
4:00:00 PM,24,Tuesday,124,26,26,15,191,heavy
4:15:00 PM,24,Tuesday,123,27,23,13,186,heavy
4:30:00 PM,24,Tuesday,129,20,32,20,201,heavy
4:45:00 PM,24,Tuesday,143,6,38,13,200,heavy
5:00:00 PM,24,Tuesday,109,9,28,19,165,high
5:15:00 PM,24,Tuesday,119,29,25,11,184,heavy
5:30:00 PM,24,Tuesday,120,19,16,16,171,heavy
5:45:00 PM,24,Tuesday,133,24,17,18,192,heavy
6:00:00 PM,24,Tuesday,132,23,29,13,197,heavy
8:00:00 PM,24,Tuesday,59,14,9,10,92,low
8:15:00 PM,24,Tuesday,78,4,11,17,110,low
8:45:00 PM,24,Tuesday,56,20,6,32,114,high
9:15:00 PM,24,Tuesday,75,19,13,32,139,high
5:45:00 AM,25,Wednesday,124,16,21,8,169,heavy
6:45:00 AM,25,Wednesday,147,20,25,8,200,heavy
7:00:00 AM,25,Wednesday,126,30,19,8,183,heavy
7:45:00 AM,25,Wednesday,118,24,17,15,174,heavy
8:00:00 AM,25,Wednesday,144,18,16,5,183,heavy
8:45:00 AM,25,Wednesday,121,16,25,9,171,heavy
10:15:00 AM,25,Wednesday,56,6,10,9,81,low
10:45:00 AM,25,Wednesday,68,10,5,31,114,high
1:15:00 PM,25,Wednesday,91,2,0,11,104,low
3:00:00 PM,25,Wednesday,23,15,7,12,57,low
3:45:00 PM,25,Wednesday,134,22,29,11,196,heavy
4:00:00 PM,25,Wednesday,128,23,24,16,191,heavy
4:30:00 PM,25,Wednesday,124,11,30,18,183,heavy
4:45:00 PM,25,Wednesday,134,10,13,19,176,heavy
5:00:00 PM,25,Wednesday,125,17,10,16,168,heavy
5:15:00 PM,25,Wednesday,147,18,13,11,189,heavy
5:45:00 PM,25,Wednesday,146,17,25,11,199,heavy
6:00:00 PM,25,Wednesday,142,15,34,10,201,heavy
6:15:00 PM,25,Wednesday,130,24,23,10,187,heavy
6:30:00 PM,25,Wednesday,94,15,15,32,156,high
7:15:00 PM,25,Wednesday,51,8,13,17,89,low
8:15:00 PM,25,Wednesday,66,12,20,31,129,high
9:15:00 PM,25,Wednesday,83,6,6,35,130,high
4:00:00 AM,26,Thursday,79,3,1,14,97,low
4:15:00 AM,26,Thursday,58,3,2,18,81,low
5:00:00 AM,26,Thursday,64,4,0,12,80,low
5:30:00 AM,26,Thursday,79,7,7,11,104,low
6:45:00 AM,26,Thursday,130,19,20,11,180,heavy
7:15:00 AM,26,Thursday,130,15,11,15,171,heavy
7:30:00 AM,26,Thursday,139,28,17,5,189,heavy
8:00:00 AM,26,Thursday,139,22,16,5,182,heavy
8:15:00 AM,26,Thursday,141,11,19,7,178,heavy
8:30:00 AM,26,Thursday,116,29,14,12,171,heavy
9:30:00 AM,26,Thursday,42,10,15,7,74,low
10:30:00 AM,26,Thursday,37,8,15,15,75,low
1:30:00 PM,26,Thursday,70,8,28,13,119,high
2:15:00 PM,26,Thursday,85,16,26,26,153,high
2:30:00 PM,26,Thursday,84,11,34,14,143,high
2:45:00 PM,26,Thursday,59,14,33,12,118,high
4:00:00 PM,26,Thursday,137,20,30,15,202,heavy
4:15:00 PM,26,Thursday,121,14,32,10,177,heavy
4:30:00 PM,26,Thursday,115,26,33,19,193,heavy
4:45:00 PM,26,Thursday,133,25,19,12,189,heavy
5:00:00 PM,26,Thursday,110,10,29,17,166,high
5:15:00 PM,26,Thursday,110,20,24,17,171,heavy
5:45:00 PM,26,Thursday,113,20,38,17,188,heavy
6:00:00 PM,26,Thursday,134,13,29,15,191,heavy
6:15:00 PM,26,Thursday,148,14,21,19,202,heavy
4:30:00 AM,27,Friday,76,0,5,40,121,high
4:45:00 AM,27,Friday,51,6,5,57,119,high
5:00:00 AM,27,Friday,69,1,0,51,121,high
6:15:00 AM,27,Friday,72,0,4,36,112,high
6:30:00 AM,27,Friday,78,8,5,37,128,high
7:00:00 AM,27,Friday,75,6,2,42,125,high
