Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
12,4,52,9,8,20,89,2
12,4,45,26,29,10,110,2
12,4,14,21,7,18,60,2
12,4,55,22,24,10,111,2
12,4,45,14,39,5,103,2
12,4,90,17,16,11,134,2
12,4,33,21,25,5,84,2
12,4,118,25,31,13,187,4
12,4,86,28,13,5,132,2
12,4,105,29,22,12,168,4
12,4,10,19,26,8,63,2
12,4,46,22,18,9,95,2
12,4,105,35,48,6,194,4
12,4,135,37,34,5,211,4
12,4,103,29,44,6,182,4
12,4,113,13,42,10,178,4
12,4,103,20,27,9,159,3
12,4,150,13,20,9,192,4
12,4,116,25,33,8,182,4
12,4,109,16,41,9,175,4
12,4,112,11,50,5,178,4
12,4,104,31,30,5,170,4
12,4,146,18,40,6,210,4
12,4,110,24,10,29,173,4
12,4,60,15,12,25,112,3
12,4,103,9,14,29,155,3
12,4,102,6,15,6,129,2
12,4,51,17,16,8,92,2
12,4,62,12,11,18,103,2
12,4,103,14,12,5,134,2
12,4,50,7,11,23,91,2
12,4,80,14,20,6,120,2
12,4,98,13,18,21,150,3
12,4,53,25,20,13,111,2
12,4,52,8,10,27,97,2
12,4,71,23,13,21,128,3
12,4,17,3,0,29,49,2
12,4,20,5,1,36,62,2
12,4,15,0,0,32,47,2
12,4,15,0,1,20,36,2
12,4,14,2,0,23,39,2
12,4,13,1,0,29,43,2
12,4,14,5,0,31,50,2
12,4,16,3,0,33,52,2
13,5,18,4,1,15,38,2
13,5,20,0,1,23,44,2
13,5,19,3,0,16,38,2
13,5,10,3,0,12,25,1
13,5,10,4,0,23,37,2
13,5,12,5,0,29,46,2
13,5,10,0,0,39,49,2
13,5,16,2,1,21,40,2
13,5,18,4,1,36,59,2
13,5,15,1,0,14,30,2
13,5,17,4,0,13,34,2
13,5,18,3,1,24,46,2
13,5,19,2,0,11,32,1
13,5,19,3,0,21,43,2
13,5,19,3,1,31,54,2
13,5,14,2,1,19,36,2
13,5,11,0,0,27,38,2
13,5,27,6,1,11,45,1
13,5,33,11,6,13,63,2
13,5,63,6,7,10,86,1
13,5,58,13,4,15,90,2
13,5,57,11,7,10,85,1
13,5,63,10,6,12,91,1
13,5,74,9,0,15,98,2
13,5,71,9,7,10,97,1
13,5,33,9,6,13,61,2
13,5,29,6,1,12,48,1
13,5,32,9,3,11,55,1
13,5,57,14,3,11,85,1
13,5,31,11,0,14,56,2
13,5,30,9,3,10,52,1
13,5,61,8,7,12,88,1
13,5,47,10,4,10,71,1
13,5,80,16,4,15,115,2
13,5,49,10,2,10,71,1
13,5,58,7,5,13,83,2
13,5,53,19,1,10,83,1
13,5,132,47,25,0,204,4
13,5,131,52,15,0,198,4
13,5,171,59,27,3,260,4
13,5,131,43,20,3,197,4
13,5,177,56,12,4,249,4
13,5,160,47,30,3,240,4
13,5,178,68,28,4,278,4
13,5,169,70,20,3,262,4
13,5,133,56,25,2,216,4
13,5,151,52,13,0,216,4
13,5,179,46,27,3,255,4
13,5,144,68,20,0,232,4
13,5,162,46,19,2,229,4
13,5,159,44,23,2,228,4
13,5,174,67,30,1,272,4
13,5,136,57,29,4,226,4
13,5,156,42,12,3,213,4
13,5,175,63,19,3,260,4
13,5,172,62,20,2,256,4
13,5,171,49,15,0,235,4
13,5,172,65,18,2,257,4
13,5,176,50,13,1,240,4
13,5,153,50,23,3,229,4
13,5,148,64,27,0,239,4
13,5,56,28,6,2,92,1
13,5,88,26,25,0,139,2
13,5,82,23,14,0,119,2
13,5,77,20,7,0,104,1
13,5,66,24,1,0,91,1
13,5,72,22,8,2,104,1
13,5,62,28,21,2,113,2
13,5,66,26,4,1,97,1
13,5,85,20,4,0,109,1
13,5,87,24,11,2,124,2
13,5,67,28,25,0,120,2
13,5,70,26,16,2,114,2
13,5,62,20,20,1,103,2
13,5,67,29,1,0,97,1
13,5,65,25,1,1,92,1
13,5,76,24,23,0,123,2
13,5,42,1,5,11,59,1
13,5,42,10,3,1,56,1
13,5,31,11,1,12,55,1
13,5,47,7,3,6,63,1
13,5,28,7,2,4,41,1
13,5,22,3,6,1,32,1
13,5,29,1,7,5,42,1
13,5,43,9,1,11,64,1
13,5,23,3,3,8,37,1
13,5,21,2,5,15,43,2
13,5,31,2,1,9,43,1
13,5,15,5,0,18,38,2
13,5,11,2,0,15,28,2
13,5,12,0,1,17,30,2
13,5,18,3,0,18,39,2
13,5,19,1,0,31,51,2
13,5,17,0,0,22,39,2
13,5,15,5,0,14,34,2
13,5,15,1,1,24,41,2
14,6,18,4,0,33,55,2
14,6,14,4,0,34,52,2
14,6,14,0,1,19,34,2
14,6,19,3,0,36,58,2
14,6,10,4,1,21,36,2
14,6,19,1,0,19,39,2
14,6,18,5,0,26,49,2
14,6,17,1,1,25,44,2
14,6,20,2,0,12,34,1
14,6,15,5,0,15,35,2
14,6,11,4,0,14,29,2
14,6,14,3,1,18,36,2
14,6,13,2,0,39,54,2
14,6,17,5,0,29,51,2
14,6,13,5,0,31,49,2
14,6,18,5,0,35,58,2
14,6,15,4,0,16,35,2
14,6,55,15,5,3,78,1
14,6,76,10,7,9,102,1
14,6,98,0,9,19,126,2
14,6,98,12,6,6,122,2
14,6,103,2,10,20,135,2
14,6,93,17,8,12,130,2
14,6,115,27,9,16,167,2
14,6,120,12,22,3,157,2
14,6,142,18,27,0,187,4
14,6,117,29,49,2,197,4
14,6,126,36,24,0,186,4
14,6,110,39,38,5,192,4
14,6,149,20,39,5,213,4
14,6,109,29,23,5,166,2
14,6,124,34,24,4,186,4
14,6,149,35,32,1,217,4
14,6,125,32,38,4,199,4
14,6,101,23,38,1,163,3
14,6,137,36,30,0,203,4
14,6,139,15,21,3,178,4
14,6,19,3,29,9,60,2
14,6,13,11,39,7,70,2
14,6,31,2,29,27,89,2
14,6,18,24,21,22,85,2
14,6,26,12,14,13,65,2
14,6,31,15,13,28,87,2
14,6,12,22,8,11,53,1
14,6,54,5,13,23,95,2
14,6,59,7,13,21,100,2
14,6,58,8,6,23,95,2
14,6,53,8,9,25,95,2
14,6,54,7,7,20,88,2
14,6,39,10,4,29,82,2
14,6,38,9,8,22,77,2
14,6,36,5,10,23,74,2
14,6,68,6,12,24,110,2
14,6,50,18,26,14,108,2
14,6,120,28,22,20,190,4
14,6,60,14,28,9,111,2
14,6,105,14,8,19,146,2
14,6,89,27,18,8,142,2
14,6,28,17,31,10,86,2
14,6,79,14,23,6,122,2
14,6,15,11,30,14,70,2
14,6,77,27,23,18,145,2
14,6,19,14,24,6,63,2
14,6,79,13,28,7,127,3
14,6,114,10,22,9,155,2
14,6,150,30,22,5,207,4
14,6,142,23,25,7,197,4
14,6,111,36,25,6,178,4
14,6,143,37,38,8,226,4
14,6,120,37,43,10,210,4
14,6,147,20,49,7,223,2
14,6,140,22,27,5,194,4
14,6,128,37,20,9,194,4
14,6,114,23,42,10,189,4
14,6,117,20,22,9,168,4
14,6,93,24,17,23,157,3
14,6,65,15,15,8,103,1
14,6,100,22,14,8,144,2
14,6,85,12,11,18,126,2
14,6,56,7,12,12,87,1
14,6,50,12,15,18,95,2
14,6,74,9,11,12,106,1
14,6,73,15,18,7,113,2
14,6,99,13,20,30,162,3
14,6,110,14,17,8,149,2
14,6,82,5,12,34,133,3
14,6,58,19,12,17,106,2
14,6,70,10,14,32,126,3
14,6,10,1,0,33,44,2
14,6,14,1,1,40,56,2
14,6,17,1,1,17,36,2
14,6,12,4,1,22,39,2
14,6,15,0,0,16,31,2
14,6,13,4,0,25,42,2
14,6,14,5,1,12,32,1
14,6,18,1,1,35,55,2
15,7,18,5,1,19,43,2
15,7,19,3,0,38,60,2
15,7,13,0,1,12,26,1
15,7,20,0,1,38,59,2
15,7,20,1,1,24,46,2
15,7,17,3,1,17,38,2
15,7,12,3,1,35,51,2
15,7,19,0,1,30,50,2
15,7,19,2,1,30,52,2
15,7,18,1,0,16,35,2
15,7,11,0,0,31,42,2
15,7,10,1,1,12,24,1
15,7,16,1,0,24,41,2
15,7,18,3,0,28,49,2
15,7,20,1,1,39,61,2
15,7,19,3,1,27,50,2
15,7,14,1,1,34,50,2
15,7,61,26,1,16,104,2
15,7,72,26,6,4,108,1
15,7,86,24,3,18,131,2
15,7,75,1,8,10,94,1
15,7,75,1,7,9,92,1
15,7,93,5,4,1,103,1
15,7,111,6,2,5,124,2
15,7,111,18,41,2,172,4
15,7,114,27,46,0,187,4
15,7,139,19,50,2,210,4
15,7,109,14,38,1,162,3
15,7,105,16,22,3,146,2
15,7,150,13,31,4,198,4
15,7,122,13,47,3,185,4
15,7,114,24,46,2,186,4
15,7,119,36,41,0,196,4
15,7,108,35,39,0,182,4
15,7,113,18,28,1,160,3
15,7,118,36,37,0,191,4
15,7,113,35,48,3,199,4
15,7,66,7,22,30,125,3
15,7,64,12,27,8,111,2
15,7,37,5,13,11,66,1
15,7,82,17,31,20,150,3
15,7,63,5,23,12,103,2
15,7,20,12,16,24,72,2
15,7,46,5,34,9,94,2
15,7,35,9,8,29,81,2
15,7,33,9,11,21,74,2
15,7,32,9,10,30,81,2
15,7,62,10,6,22,100,2
15,7,62,10,11,22,105,2
15,7,54,10,12,25,101,2
15,7,48,8,15,23,94,2
15,7,20,10,12,24,66,2
15,7,35,10,5,30,80,2
15,7,112,15,40,10,177,4
15,7,51,21,25,13,110,2
15,7,53,12,23,8,96,2
15,7,63,22,18,15,118,2
15,7,50,23,16,8,97,2
15,7,94,20,35,17,166,3
15,7,7,27,39,17,90,2
15,7,109,18,13,6,146,2
15,7,18,27,19,6,70,2
15,7,21,30,5,5,61,1
15,7,49,16,9,12,86,1
15,7,129,28,40,6,203,4
15,7,141,18,28,8,195,4
15,7,131,14,43,7,195,4
15,7,105,38,23,5,171,4
15,7,125,35,37,5,202,4
15,7,127,36,42,9,214,4
15,7,129,22,25,9,185,4
15,7,121,39,47,8,215,4
15,7,138,29,42,9,218,4
15,7,119,26,21,5,171,4
15,7,138,17,48,8,211,4
15,7,72,12,14,32,130,3
15,7,92,23,20,30,165,3
15,7,94,17,11,24,146,3
15,7,102,25,12,24,163,3
15,7,71,23,17,14,125,2
15,7,58,5,19,25,107,2
15,7,93,22,18,10,143,2
15,7,59,23,10,35,127,3
15,7,57,20,10,20,107,2
15,7,96,9,18,25,148,3
15,7,104,12,16,20,152,2
15,7,104,22,17,23,166,3
15,7,88,8,11,29,136,3
15,7,20,3,0,16,39,2
15,7,17,2,1,30,50,2
15,7,17,4,0,23,44,2
15,7,15,5,0,21,41,2
15,7,10,0,1,31,42,2
15,7,11,1,1,19,32,2
15,7,12,2,0,29,43,2
15,7,11,0,1,11,23,1
16,1,18,4,1,28,51,2
16,1,13,3,0,26,42,2
16,1,16,3,0,34,53,2
16,1,16,4,0,35,55,2
16,1,20,2,1,33,56,2
16,1,14,4,1,28,47,2
16,1,11,4,1,19,35,2
16,1,19,4,0,17,40,2
16,1,18,3,1,26,48,2
16,1,10,1,1,21,33,2
16,1,20,5,1,40,66,2
16,1,11,5,0,37,53,2
16,1,15,4,1,29,49,2
16,1,16,2,1,27,46,2
16,1,10,3,1,23,37,2
16,1,16,5,1,31,53,2
16,1,20,0,1,30,51,2
16,1,61,4,5,17,87,2
16,1,91,8,6,2,107,1
16,1,94,4,5,2,105,1
16,1,117,8,6,16,147,2
16,1,111,14,10,14,149,2
16,1,91,2,3,5,101,1
16,1,96,9,1,16,122,2
16,1,134,15,42,5,196,4
16,1,121,35,39,4,199,4
16,1,118,40,40,3,201,4
16,1,115,17,40,1,173,4
16,1,106,22,37,0,165,3
16,1,147,26,40,0,213,4
16,1,102,13,31,2,148,3
16,1,102,12,24,3,141,2
16,1,130,40,31,2,203,4
16,1,102,17,33,0,152,3
16,1,105,13,48,5,171,4
16,1,129,24,25,0,178,4
16,1,117,11,45,0,173,4
16,1,74,14,23,21,132,3
16,1,80,14,35,18,147,3
16,1,31,7,34,24,96,2
16,1,18,15,9,15,57,2
16,1,15,10,23,20,68,2
16,1,37,18,8,16,79,2
16,1,10,7,5,14,36,2
16,1,54,6,15,23,98,2
16,1,34,7,5,24,70,2
16,1,50,7,8,21,86,2
16,1,44,9,10,24,87,2
16,1,63,8,15,24,110,2
16,1,56,6,6,29,97,2
16,1,69,5,13,27,114,3
16,1,39,5,3,30,77,2
16,1,61,10,14,24,109,2
16,1,61,30,5,20,116,2
16,1,20,17,9,5,51,1
16,1,70,22,38,7,137,3
16,1,25,30,31,9,95,2
16,1,23,13,12,6,54,1
16,1,105,30,24,8,167,2
16,1,107,10,6,6,129,2
16,1,40,20,36,7,103,2
16,1,74,18,37,11,140,3
16,1,62,15,8,11,96,1
16,1,81,20,14,12,127,2
16,1,111,32,43,5,191,4
16,1,145,12,41,6,204,4
16,1,139,11,20,7,177,4
16,1,129,40,31,10,210,4
16,1,128,22,28,8,186,4
16,1,103,17,23,8,151,2
16,1,127,32,29,7,195,4
16,1,120,35,44,8,207,4
16,1,106,11,41,7,165,3
16,1,114,40,31,5,190,4
16,1,101,13,20,7,141,2
16,1,110,25,19,34,188,4
16,1,108,6,17,23,154,3
16,1,104,12,10,10,136,2
16,1,102,22,17,23,164,3
16,1,77,19,16,8,120,2
16,1,70,16,19,33,138,3
16,1,75,9,13,28,125,3
16,1,95,9,16,29,149,3
16,1,77,17,17,22,133,3
16,1,73,16,14,34,137,3
16,1,59,7,18,12,96,2
16,1,54,20,10,9,93,1
16,1,90,6,18,32,146,3
16,1,15,5,1,32,53,2
16,1,12,1,0,11,24,1
16,1,17,2,0,28,47,2
16,1,13,5,1,12,31,1
16,1,15,5,0,21,41,2
16,1,18,4,0,11,33,1
16,1,12,4,0,21,37,2
16,1,10,4,1,12,27,1
17,2,15,2,0,25,42,2
17,2,11,0,0,24,35,2
17,2,15,2,1,15,33,2
17,2,20,3,1,29,53,2
17,2,17,2,0,24,43,2
17,2,19,5,1,26,51,2
17,2,20,3,1,32,56,2
17,2,15,3,0,19,37,2
17,2,13,5,0,17,35,2
17,2,12,5,1,19,37,2
17,2,10,2,0,27,39,2
17,2,20,4,1,23,48,2
17,2,14,0,0,16,30,2
17,2,12,4,1,28,45,2
17,2,19,2,0,20,41,2
17,2,20,2,1,19,42,2
17,2,16,0,0,36,52,2
17,2,62,20,4,18,104,2
17,2,50,13,2,14,79,2
17,2,101,3,6,6,116,2
17,2,94,15,2,9,120,2
17,2,68,10,8,1,87,1
17,2,95,3,8,20,126,2
17,2,113,7,10,16,146,2
17,2,106,13,39,1,159,3
17,2,105,32,47,4,188,4
17,2,150,19,34,4,207,4
17,2,137,38,39,2,216,4
17,2,113,11,32,1,157,3
17,2,117,30,26,5,178,4
17,2,130,10,37,1,178,4
17,2,150,32,31,1,214,4
17,2,146,10,30,3,189,4
17,2,123,24,46,2,195,4
17,2,110,24,26,4,164,3
17,2,111,33,31,2,177,4
17,2,132,18,32,2,184,4
17,2,66,16,22,13,117,2
17,2,45,24,5,23,97,2
17,2,92,19,15,7,133,2
17,2,78,22,16,25,141,3
17,2,90,2,15,18,125,2
17,2,23,2,37,9,71,2
17,2,17,5,6,20,48,2
17,2,41,5,4,24,74,2
17,2,32,5,15,26,78,2
17,2,65,7,7,22,101,2
17,2,22,6,3,25,56,2
17,2,54,7,4,28,93,2
17,2,38,5,8,28,79,2
17,2,59,7,15,23,104,2
17,2,34,8,10,23,75,2
17,2,28,6,3,27,64,2
17,2,7,16,11,14,48,2
17,2,8,12,22,8,50,2
17,2,42,25,38,18,123,3
17,2,82,13,28,5,128,3
17,2,14,24,26,9,73,2
17,2,39,25,33,9,106,2
17,2,47,14,29,6,96,2
17,2,120,20,21,18,179,4
17,2,114,11,39,10,174,4
17,2,99,24,30,10,163,3
17,2,78,18,30,8,134,3
17,2,144,40,29,10,223,2
17,2,107,28,38,9,182,4
17,2,123,28,24,10,185,4
17,2,126,15,28,6,175,4
17,2,147,28,23,5,203,4
17,2,100,21,33,7,161,3
17,2,113,12,22,6,153,2
17,2,130,34,30,6,200,4
17,2,118,40,29,10,197,4
17,2,113,38,44,9,204,4
17,2,117,29,29,9,184,4
17,2,106,12,20,32,170,4
17,2,96,11,15,14,136,2
17,2,58,11,14,24,107,2
17,2,76,22,10,9,117,2
17,2,66,6,12,33,117,3
17,2,61,23,13,18,115,2
17,2,93,6,15,17,131,2
17,2,51,11,16,26,104,2
17,2,86,6,12,9,113,2
17,2,77,15,12,29,133,3
17,2,84,15,16,8,123,2
17,2,103,12,15,10,140,2
17,2,60,9,11,27,107,2
17,2,14,1,1,22,38,2
17,2,14,2,0,35,51,2
17,2,13,1,1,31,46,2
17,2,19,0,1,22,42,2
17,2,13,4,0,28,45,2
17,2,13,1,0,26,40,2
17,2,12,0,1,34,47,2
17,2,20,1,1,38,60,2
18,3,12,3,0,38,53,2
18,3,12,1,0,40,53,2
18,3,20,5,0,10,35,1
18,3,12,4,1,27,44,2
18,3,15,5,0,21,41,2
18,3,19,2,0,30,51,2
18,3,11,0,1,40,52,2
18,3,15,3,0,35,53,2
18,3,15,0,1,37,53,2
18,3,16,2,0,37,55,2
18,3,10,0,1,24,35,2
18,3,12,0,1,31,44,2
18,3,15,1,1,36,53,2
18,3,14,5,0,17,36,2
18,3,17,3,1,38,59,2
18,3,19,0,0,18,37,2
18,3,18,5,1,30,54,2
18,3,119,12,6,4,141,2
18,3,74,28,1,13,116,2
18,3,101,26,10,0,137,2
18,3,99,4,7,19,129,2
18,3,99,18,7,5,129,2
18,3,102,24,2,8,136,2
18,3,50,4,6,13,73,2
18,3,128,11,46,4,189,4
18,3,129,39,43,0,211,4
18,3,129,27,38,0,194,4
18,3,113,24,22,2,161,2
18,3,141,15,21,5,182,4
18,3,120,22,29,1,172,4
18,3,141,24,47,4,216,4
18,3,149,24,33,1,207,4
18,3,140,40,36,1,217,4
18,3,140,20,36,0,196,4
18,3,107,13,31,4,155,3
18,3,141,15,32,4,192,4
18,3,120,27,38,4,189,4
18,3,70,14,21,5,110,2
18,3,55,24,16,21,116,3
18,3,52,18,22,16,108,2
18,3,65,4,19,21,109,2
18,3,54,10,30,28,122,3
18,3,37,3,32,18,90,2
18,3,23,3,37,18,81,2
18,3,43,7,7,29,86,2
18,3,22,6,13,24,65,2
18,3,21,10,6,30,67,2
18,3,48,8,11,22,89,2
18,3,35,5,12,20,72,2
18,3,69,5,13,22,109,2
18,3,22,9,10,21,62,2
18,3,46,5,9,23,83,2
18,3,49,5,11,21,86,2
18,3,29,18,29,20,96,2
18,3,96,23,31,14,164,3
18,3,100,27,23,16,166,2
18,3,96,22,36,5,159,3
18,3,27,26,25,15,93,2
18,3,114,21,32,5,172,4
18,3,74,27,34,10,145,3
18,3,14,16,9,14,53,2
18,3,84,30,26,10,150,3
18,3,96,19,14,18,147,2
18,3,40,15,28,5,88,2
18,3,110,15,46,5,176,4
18,3,138,39,31,7,215,4
18,3,118,32,32,10,192,4
18,3,142,34,38,9,223,2
18,3,113,13,36,5,167,2
18,3,104,29,32,7,172,4
18,3,134,39,21,9,203,4
18,3,107,15,48,5,175,4
18,3,139,25,43,7,214,4
18,3,128,20,20,6,174,4
18,3,101,13,47,10,171,4
18,3,105,17,13,23,158,3
18,3,103,14,13,9,139,2
18,3,51,23,15,13,102,2
18,3,84,10,16,20,130,2
18,3,97,25,19,24,165,3
18,3,98,8,10,19,135,2
18,3,94,13,19,25,151,3
18,3,105,25,11,35,176,4
18,3,74,9,13,6,102,1
18,3,57,18,13,28,116,3
18,3,57,14,11,33,115,3
18,3,84,23,19,15,141,2
18,3,105,14,16,33,168,4
18,3,10,4,1,38,53,2
18,3,15,1,1,29,46,2
18,3,14,1,1,25,41,2
18,3,20,2,0,37,59,2
18,3,20,1,0,27,48,2
18,3,13,1,1,18,33,2
18,3,19,0,0,35,54,2
18,3,14,1,1,27,43,2
19,4,13,5,0,12,30,1
19,4,18,5,0,12,35,1
19,4,10,3,1,32,46,2
19,4,14,2,0,15,31,2
19,4,16,3,0,15,34,2
